cpu_load,ram_usage,temperature,power_draw
41.84,39.49,43.52,265.41
90.81,83.28,59.24,411.7
72.22,65.63,54.16,349.46
60.89,51.98,50.97,312.2
23.26,20.91,37.37,206.12
23.26,25.08,36.9,200.19
14.94,15.0,34.83,189.3
83.62,77.39,59.02,384.34
61.09,57.41,51.46,314.97
70.19,59.74,53.54,344.21
11.75,15.0,31.86,162.09
92.44,83.02,60.57,404.27
80.76,69.26,58.07,381.16
28.05,31.15,36.59,213.55
25.46,20.58,37.46,204.77
25.59,23.67,36.37,212.52
35.86,33.7,40.59,246.64
54.6,48.82,49.03,301.0
46.72,41.02,44.64,278.1
34.75,34.67,40.23,233.65
62.01,51.4,47.66,310.34
21.86,22.06,36.77,207.09
34.83,33.23,41.16,236.5
41.14,39.46,45.64,256.76
48.77,46.15,44.61,285.49
76.74,63.02,55.19,365.25
26.97,21.98,37.81,216.71
53.71,51.8,49.16,305.8
60.36,54.28,48.98,310.27
13.95,15.0,33.3,180.34
61.64,58.97,50.49,318.12
24.49,24.94,36.85,208.35
15.53,20.96,32.77,187.51
90.66,77.73,60.02,406.38
92.08,84.85,61.84,411.43
78.71,73.24,54.01,372.77
35.89,32.97,40.76,239.05
18.3,22.56,33.36,183.73
68.16,61.46,53.65,332.45
47.41,47.04,42.31,264.08
20.37,18.4,34.29,204.47
52.09,48.73,46.8,283.73
12.92,18.51,34.87,172.51
87.29,69.56,58.45,392.26
32.0,27.05,38.37,230.31
66.31,51.93,54.03,336.77
36.5,33.39,38.6,245.79
54.21,50.52,43.67,290.7
56.47,54.68,48.42,301.49
25.71,25.79,36.25,211.53
92.41,83.82,58.81,406.92
75.89,61.57,55.62,368.33
89.86,71.78,59.82,403.96
86.06,73.68,57.27,393.28
60.82,54.81,47.37,317.3
88.36,75.59,60.23,403.39
17.52,15.0,35.11,187.52
26.66,26.06,37.18,206.75
13.84,15.0,35.62,178.57
37.65,37.13,39.57,241.96
43.04,40.53,40.77,258.25
33.06,28.63,38.53,234.78
80.44,67.81,56.09,379.47
40.32,34.08,42.48,254.25
33.88,31.92,39.5,236.15
56.13,52.77,48.17,309.76
21.98,19.63,33.82,199.65
78.19,69.06,57.53,380.7
16.34,16.48,33.59,185.37
93.89,77.73,62.54,405.34
75.64,65.19,54.99,363.06
26.89,23.41,38.1,216.25
10.47,15.0,32.52,172.02
79.31,64.86,56.43,373.66
70.08,66.96,53.49,342.29
71.97,62.68,55.18,342.97
75.56,63.35,54.74,357.89
16.29,18.68,34.77,178.75
40.47,37.04,42.03,251.43
19.85,20.22,37.11,197.07
83.36,73.53,56.16,389.85
62.98,57.66,52.74,324.69
38.13,33.91,41.28,241.42
15.4,15.59,31.24,180.97
36.43,33.32,40.94,248.47
37.64,28.21,40.15,242.42
72.02,58.07,54.47,348.21
64.19,60.45,49.49,324.56
85.41,78.27,57.23,383.84
50.14,44.36,42.71,284.99
20.17,22.86,34.38,193.05
70.63,62.43,49.08,344.39
74.67,73.97,51.76,350.51
57.71,54.53,49.34,304.07
75.53,65.04,55.61,362.91
51.97,43.71,46.83,287.07
54.43,43.73,45.6,303.85
46.34,42.68,44.15,269.83
12.16,15.0,32.25,171.3
19.17,16.07,32.97,194.83
12.67,15.0,34.69,165.73
64.09,53.03,51.75,316.54
36.72,39.44,40.52,235.45
53.23,50.23,46.67,298.69
87.14,74.69,58.81,390.65
31.19,34.39,35.85,238.05
44.88,41.14,43.34,264.52
74.22,61.79,52.95,355.22
29.45,33.13,36.8,228.57
16.54,19.85,33.37,193.04
34.63,29.59,42.82,248.68
23.7,23.39,37.26,211.04
89.02,73.59,58.3,403.54
78.69,63.8,56.4,371.5
63.84,58.85,52.44,328.86
84.07,77.99,58.81,382.06
78.31,63.45,55.5,362.93
25.86,27.38,36.08,210.43
85.87,71.74,59.1,389.13
55.84,48.21,48.14,298.17
78.63,66.13,56.86,372.08
86.17,71.34,59.11,395.6
37.03,34.77,42.53,245.39
19.35,17.99,33.97,198.57
29.37,29.31,40.26,216.67
46.3,41.89,44.5,270.93
79.53,67.91,58.95,368.58
83.16,68.81,56.07,371.56
10.59,15.0,34.31,166.4
53.41,50.0,46.99,292.44
45.48,42.89,42.94,276.38
28.88,25.17,37.38,222.71
20.19,21.45,34.59,188.7
38.7,38.21,42.18,258.71
90.15,72.11,60.34,408.69
37.47,36.61,40.25,247.96
54.1,46.29,46.9,293.79
69.76,62.52,55.63,338.34
40.91,35.44,44.91,255.14
92.6,73.67,61.07,415.26
91.81,73.56,60.19,416.58
31.4,30.27,39.17,235.23
52.27,47.59,47.21,287.51
35.57,30.75,38.92,233.47
34.21,34.28,39.59,236.29
13.14,15.0,30.09,162.98
61.81,54.25,50.23,319.81
52.73,43.55,47.43,290.61
14.38,15.0,32.31,174.08
33.68,32.09,42.15,227.42
87.2,72.18,56.68,395.08
30.36,28.14,36.43,220.57
22.32,25.87,36.15,194.71
51.6,44.55,47.63,273.94
93.78,82.53,63.35,414.12
30.57,26.07,38.01,233.48
67.13,60.29,53.11,342.83
74.74,69.11,54.1,354.03
30.2,21.74,38.31,220.7
71.9,60.13,54.49,350.9
41.26,39.74,43.42,252.25
63.75,55.39,47.95,323.97
63.85,57.19,52.56,328.89
55.54,47.62,49.51,306.4
17.67,19.4,33.25,185.61
81.0,69.33,56.94,374.26
37.27,38.32,41.78,240.85
25.85,26.45,37.44,206.98
13.47,16.79,31.89,172.52
60.23,51.95,48.07,314.51
67.59,57.61,51.62,339.64
11.41,15.0,33.75,164.81
53.53,49.01,47.55,301.12
29.25,27.14,37.68,219.39
64.84,57.74,51.85,327.37
24.82,31.08,32.41,201.97
68.73,62.6,53.78,327.21
42.87,38.32,40.4,264.66
89.62,80.3,58.82,404.04
21.69,21.13,33.91,196.28
38.99,30.08,39.7,249.36
19.65,17.69,36.62,195.89
88.6,70.27,58.31,389.42
84.57,71.6,58.12,383.22
31.93,30.6,39.1,232.91
66.1,62.91,51.85,324.73
79.46,69.55,55.93,371.93
57.19,50.1,46.09,296.4
55.02,51.5,48.75,300.76
30.56,22.81,37.95,224.36
17.91,20.04,31.93,178.05
86.26,76.32,57.55,396.14
86.54,69.79,60.54,388.9
63.81,59.48,51.61,320.43
38.82,37.07,41.06,250.22
39.68,35.5,41.37,257.54
71.71,64.26,52.61,342.01
86.25,80.82,61.3,392.47
85.4,73.87,58.46,390.5
76.29,66.78,55.35,364.75
64.57,55.28,52.15,327.76
17.15,16.17,34.36,183.37
23.74,26.48,35.92,200.29
86.38,71.53,57.94,391.26
61.55,54.45,49.43,311.69
10.78,15.0,31.72,151.44
18.63,21.34,35.61,192.14
66.4,59.12,51.32,336.09
10.43,16.46,32.75,153.76
23.67,22.4,36.16,199.31
56.64,49.5,47.94,305.67
68.81,57.11,49.09,347.5
65.42,56.0,52.27,329.41
29.06,29.38,38.69,217.08
70.54,63.7,54.18,343.68
30.17,26.37,34.21,228.45
37.66,37.74,44.31,244.37
73.45,67.83,53.5,348.42
65.22,58.42,52.49,326.44
82.18,76.38,55.2,372.95
65.9,55.4,51.98,331.12
58.31,47.91,46.83,314.79
17.96,15.0,33.35,188.59
41.26,42.49,45.31,256.91
32.54,33.0,39.1,229.21
30.74,29.42,39.08,217.8
92.71,80.0,61.75,414.87
43.41,36.35,43.94,263.14
85.82,81.0,58.26,388.54
63.65,56.31,50.82,339.59
77.56,67.38,58.75,368.03
52.72,49.36,46.37,287.05
59.04,53.67,48.96,307.65
51.86,47.16,47.73,294.83
26.6,23.91,38.97,214.52
71.41,63.54,54.77,340.14
33.87,37.74,40.81,239.83
12.07,18.69,30.51,165.7
64.87,61.67,53.15,337.57
25.05,23.51,35.05,213.08
89.94,73.98,59.93,399.56
91.08,77.49,58.75,410.81
87.76,75.38,58.62,395.39
41.46,41.45,43.01,261.86
